0.00, 1, red, Entry
72.97, 1, red, Entry
73.00, 1, red, Exit
73.00, 4, red, Entry
73.07, 4, red, Exit
73.07, 1, red, Entry
73.17, 1, red, Exit
73.17, 4, red, Entry
73.73, 4, red, Exit
73.73, 3, red, Entry
73.77, 3, red, Exit
73.77, 4, red, Entry
73.80, 4, red, Exit
73.80, 1, red, Entry
73.83, 1, red, Exit
73.83, 4, red, Entry
73.90, 4, red, Exit
73.90, 3, red, Entry
73.93, 3, red, Exit
73.93, 2, red, Entry
73.97, 2, red, Exit
73.97, 1, red, Entry
74.00, 1, red, Exit
74.00, 4, red, Entry
74.03, 4, red, Exit
74.03, 3, red, Entry
74.07, 3, red, Exit
74.07, 1, red, Entry
74.23, 1, red, Exit
74.23, 4, red, Entry
74.30, 4, red, Exit
74.30, 3, red, Entry
74.33, 3, red, Exit
74.33, 1, red, Entry
74.37, 1, red, Exit
74.37, 3, red, Entry
74.50, 3, red, Exit
74.50, 1, red, Entry
74.60, 1, red, Exit
74.60, 4, red, Entry
74.73, 4, red, Exit
74.73, 1, red, Entry
74.87, 1, red, Exit
74.87, 2, red, Entry
74.97, 2, red, Exit
74.97, 3, red, Entry
75.07, 3, red, Exit
75.07, 4, red, Entry
75.10, 4, red, Exit
75.10, 2, red, Entry
75.13, 2, red, Exit
75.13, 3, red, Entry
75.17, 3, red, Exit
75.17, 2, red, Entry
75.20, 2, red, Exit
75.20, 3, red, Entry
75.27, 3, red, Exit
75.27, 2, red, Entry
75.33, 2, red, Exit
75.33, 1, red, Entry
75.40, 1, red, Exit
75.40, 4, red, Entry
75.43, 4, red, Exit
75.43, 1, red, Entry
75.50, 1, red, Exit
75.50, 2, red, Entry
75.53, 2, red, Exit
75.53, 1, red, Entry
75.60, 1, red, Exit
75.60, 3, red, Entry
75.63, 3, red, Exit
75.63, 1, red, Entry
75.67, 4, green, Exit
75.67, 3, green, Entry
75.70, 1, red, Exit
75.70, 3, red, Entry
75.83, 3, green, Exit
75.83, 4, green, Entry
75.87, 3, red, Exit
75.87, 1, red, Entry
75.90, 4, green, Exit
75.90, 3, green, Entry
75.93, 3, green, Exit
75.93, 4, green, Entry
75.97, 1, red, Exit
75.97, 3, red, Entry
75.97, 4, green, Exit
75.97, 3, green, Entry
76.00, 3, red, Exit
76.00, 1, red, Entry
76.03, 3, green, Exit
76.03, 4, green, Entry
76.07, 4, green, Exit
76.07, 3, green, Entry
76.13, 1, red, Exit
76.13, 3, red, Entry
76.27, 3, red, Exit
76.27, 2, red, Entry
76.30, 2, red, Exit
76.30, 4, red, Entry
76.37, 4, red, Exit
76.37, 3, red, Entry
76.40, 3, red, Exit
76.40, 2, red, Entry
76.50, 2, red, Exit
76.50, 1, red, Entry
76.53, 1, red, Exit
76.53, 2, red, Entry
76.67, 2, red, Exit
76.67, 4, red, Entry
76.70, 4, red, Exit
76.70, 2, red, Entry
76.73, 2, red, Exit
76.73, 1, red, Entry
76.80, 1, red, Exit
76.80, 2, red, Entry
76.87, 2, red, Exit
76.87, 1, red, Entry
76.90, 1, red, Exit
76.90, 3, red, Entry
76.97, 3, red, Exit
76.97, 2, red, Entry
77.00, 2, red, Exit
77.00, 3, red, Entry
77.03, 3, red, Exit
77.03, 1, red, Entry
77.10, 1, red, Exit
77.10, 3, red, Entry
77.13, 3, red, Exit
77.13, 2, red, Entry
77.20, 2, red, Exit
77.20, 3, red, Entry
77.23, 3, red, Exit
77.23, 2, red, Entry
77.27, 2, red, Exit
77.27, 3, red, Entry
77.30, 3, red, Exit
77.30, 1, red, Entry
77.37, 1, red, Exit
77.37, 3, red, Entry
77.47, 3, red, Exit
77.47, 4, red, Entry
77.60, 4, red, Exit
77.60, 2, red, Entry
86.27, 2, red, Exit
86.27, 4, red, Entry
86.30, 4, red, Exit
86.30, 2, red, Entry
86.33, 2, red, Exit
86.33, 4, red, Entry
86.47, 4, red, Exit
86.47, 3, red, Entry
86.50, 3, red, Exit
86.50, 4, red, Entry
86.53, 4, red, Exit
86.53, 3, red, Entry
86.83, 3, red, Exit
86.83, 4, red, Entry
86.87, 4, red, Exit
86.87, 3, red, Entry
87.07, 3, red, Exit
87.07, 2, red, Entry
87.10, 2, red, Exit
87.10, 1, red, Entry
87.13, 1, red, Exit
87.13, 2, red, Entry
87.17, 2, red, Exit
87.17, 1, red, Entry
87.20, 1, red, Exit
87.20, 3, red, Entry
87.23, 3, red, Exit
87.23, 2, red, Entry
87.30, 2, red, Exit
87.30, 3, red, Entry
87.33, 3, red, Exit
87.33, 4, red, Entry
87.47, 4, red, Exit
87.47, 3, red, Entry
87.50, 3, red, Exit
87.50, 4, red, Entry
87.53, 4, red, Exit
87.53, 1, red, Entry
87.63, 1, red, Exit
87.63, 4, red, Entry
87.67, 4, red, Exit
87.67, 3, red, Entry
87.77, 3, red, Exit
87.77, 4, red, Entry
87.80, 4, red, Exit
87.80, 3, red, Entry
87.87, 3, red, Exit
87.87, 1, red, Entry
87.93, 1, red, Exit
87.93, 3, red, Entry
88.07, 3, red, Exit
88.07, 1, red, Entry
88.10, 1, red, Exit
88.10, 3, red, Entry
88.13, 3, red, Exit
88.13, 1, red, Entry
88.17, 1, red, Exit
88.17, 3, red, Entry
88.20, 3, red, Exit
88.20, 4, red, Entry
88.23, 4, red, Exit
88.23, 3, red, Entry
88.43, 3, red, Exit
88.43, 2, red, Entry
88.47, 2, red, Exit
88.47, 1, red, Entry
88.50, 1, red, Exit
88.50, 2, red, Entry
88.53, 2, red, Exit
88.53, 4, red, Entry
88.57, 4, red, Exit
88.57, 3, red, Entry
88.90, 3, red, Exit
88.90, 2, red, Entry
88.93, 2, red, Exit
88.93, 1, red, Entry
88.97, 1, red, Exit
88.97, 3, red, Entry
89.33, 3, red, Exit
89.33, 4, red, Entry
89.37, 4, red, Exit
89.37, 3, red, Entry
89.43, 3, red, Exit
89.43, 4, red, Entry
89.47, 4, red, Exit
89.47, 3, red, Entry
89.50, 3, red, Exit
89.50, 1, red, Entry
89.53, 1, red, Exit
89.53, 3, red, Entry
89.63, 3, red, Exit
89.63, 2, red, Entry
89.67, 2, red, Exit
89.67, 4, red, Entry
89.77, 4, red, Exit
89.77, 3, red, Entry
89.87, 3, red, Exit
89.87, 2, red, Entry
89.90, 2, red, Exit
89.90, 3, red, Entry
89.93, 3, red, Exit
89.93, 4, red, Entry
94.37, 4, red, Exit
94.37, 3, red, Entry
94.40, 3, red, Exit
94.40, 4, red, Entry
98.00, 3, green, Exit
98.00, 4, green, Entry
98.17, 4, green, Exit
98.17, 2, green, Entry
99.73, 4, yellow, Exit
99.73, 2, yellow, Entry
99.80, 4, red, Exit
99.80, 3, red, Entry
99.83, 3, red, Exit
99.83, 4, red, Entry
100.10, 4, red, Exit
100.10, 1, red, Entry
100.23, 1, red, Exit
100.23, 4, red, Entry
100.27, 4, red, Exit
100.27, 1, red, Entry
100.37, 1, red, Exit
100.37, 4, red, Entry
100.63, 4, red, Exit
100.63, 2, red, Entry
100.70, 2, red, Exit
100.70, 4, red, Entry
